=========================UL=========================
datettime              UL-Tput   UL-RbNum UL-MCS UL-Bler UL-nonWPuschBler
20230213.174330.880843 0.001306 107.8 9.0 0.0 0.0 
20230213.174340.880963 0.000565 110.9 9.0 0.0 0.0 
20230213.174350.881105 0.000059 90.0 9.0 0.0 0.0 
20230213.174400.881254 23.924606 265.3 19.7 0.0 0.0 
20230213.174410.881449 81.424690 266.1 20.0 0.0 0.0 
20230213.174420.881596 81.353577 266.1 20.0 0.0 0.0 
20230213.174430.881736 81.342110 266.1 20.0 0.0 0.0 
20230213.174440.881882 81.322617 266.1 20.0 0.0 0.0 
20230213.174450.882030 81.414360 266.1 20.0 0.0 0.0 
20230213.174500.882165 81.414352 266.1 20.0 0.0 0.0 
20230213.174510.882300 81.393738 266.1 20.0 0.0 0.0 
20230213.174520.882440 81.424690 266.1 20.0 0.0 0.0 
20230213.174530.882581 81.435028 266.1 20.0 0.0 0.0 
20230213.174540.882740 81.435005 266.1 20.0 0.0 0.0 
20230213.174550.882873 81.230858 266.1 20.0 0.0 0.1 
20230213.174600.883201 81.066841 266.1 20.0 0.0 0.3 
20230213.174610.883142 81.362732 266.1 20.0 0.0 0.0 
20230213.174620.883287 81.383400 266.1 20.0 0.0 0.1 
20230213.174630.883438 81.424683 266.1 20.0 0.0 0.0 
20230213.174640.883577 80.770714 266.1 19.9 0.0 0.1 
20230213.174650.883707 81.362747 266.1 20.0 0.0 0.0 
20230213.174700.883858 81.435020 266.1 20.0 0.0 0.0 
20230213.174710.883992 81.414383 266.1 20.0 0.0 0.0 
20230213.174720.884135 81.435020 266.1 20.0 0.0 0.0 
20230213.174730.884274 81.383392 266.1 20.0 0.0 0.0 
20230213.174740.884415 81.393730 266.1 20.0 0.0 0.1 
20230213.174750.884569 81.363937 266.1 20.0 0.0 0.0 
20230213.174800.884704 81.424698 266.1 20.0 0.0 0.0 
20230213.174810.884837 81.362747 266.1 20.0 0.0 0.0 
20230213.174820.884993 81.404045 266.1 20.0 0.0 0.0 
20230213.174830.885116 81.277122 266.1 20.0 0.0 0.0 
20230213.174840.885268 81.404060 266.1 20.0 0.0 0.0 
20230213.174850.885397 81.393723 266.1 20.0 0.0 0.0 
20230213.174900.885523 43.754021 263.2 20.0 0.0 0.0 
20230213.174910.885679 76.244354 265.7 20.0 0.0 0.0 
20230213.174920.885801 61.030525 266.1 20.0 0.0 0.0 
20230213.174930.885949 22.844461 256.1 20.0 0.0 0.0 
20230213.174940.886109 81.435020 266.1 20.0 0.0 0.0 
20230213.174950.886224 47.550377 264.8 20.0 0.0 0.0 
20230213.175010.886451 0.000027 1.0 20.0 0.0 0.0 
20230213.175020.886585 0.001306 107.8 9.0 0.0 0.0 
20230213.175030.886778 0.001241 42.3 9.4 0.0 0.0 
20230213.175040.886935 68.186287 264.9 20.0 0.0 0.0 
20230213.175050.887059 55.244987 265.4 20.0 0.0 0.0 
20230213.175100.887221 68.634163 265.3 20.0 0.0 0.0 
