datettime              Tput  
==============================
20230213.174330.880758 0.000088 
20230213.174340.880897 0.000364 
20230213.174350.881038 0.000079 
20230213.174400.881179 0.005326 
20230213.174410.881323 323.358826 
20230213.174420.881463 333.887756 
20230213.174430.881604 333.048096 
20230213.174440.881748 334.374146 
20230213.174450.881886 334.401733 
20230213.174500.882028 332.440308 
20230213.174510.882168 334.376282 
20230213.174520.882310 334.371033 
20230213.174530.882449 334.475159 
20230213.174540.882591 334.478363 
20230213.174550.882732 334.373199 
20230213.174600.882874 333.922180 
20230213.174610.883013 333.234772 
20230213.174620.883153 335.064880 
20230213.174630.883295 335.080139 
20230213.174640.883435 332.895996 
20230213.174650.883576 334.421082 
20230213.174700.883718 334.415131 
20230213.174710.883860 334.505768 
20230213.174720.884001 334.474152 
20230213.174730.884142 334.351746 
20230213.174740.884281 334.467133 
20230213.174750.884421 334.444641 
20230213.174800.884562 334.429260 
20230213.174810.884704 334.625092 
20230213.174820.884844 333.948029 
20230213.174830.884986 332.833862 
20230213.174840.885126 334.368073 
20230213.174850.885267 334.677124 
20230213.174900.885408 190.716583 
20230213.174910.885548 334.363403 
20230213.174920.885688 164.505371 
20230213.174930.885830 257.197723 
20230213.174940.885971 334.562042 
20230213.174950.886112 235.804291 
20230213.175000.886251 0.000000 
20230213.175010.886393 0.000013 
20230213.175020.886532 0.000088 
20230213.175030.886676 108.266785 
20230213.175040.886815 49.568611 
20230213.175050.886956 0.011560 
20230213.175100.887098 20.589924 
20230213.175110.887239 0.000013 
20230213.175120.887380 0.000206 
20230213.175130.887519 0.010237 
20230213.175140.887663 316.250214 
20230213.175150.887806 289.261047 
20230213.175200.887944 335.284332 
20230213.175210.888085 210.676559 
20230213.175220.888225 234.589142 
20230213.175230.888367 310.171265 
20230213.175240.888506 0.000013 
20230213.175250.888648 0.000206 
20230213.175300.888788 167.624481 
20230213.175310.888930 74.001991 
20230213.175320.889070 6.263080 
20230213.175330.889208 0.000000 
20230213.175340.889351 0.000293 
20230213.175350.889491 0.000238 
20230213.175400.889634 123.948105 
20230213.175410.889775 334.570038 
20230213.175420.889916 335.068909 
20230213.175430.890058 333.882599 
20230213.175440.890199 334.196686 
20230213.175450.890341 334.281372 
20230213.175500.890480 334.437500 
20230213.175510.890620 335.355621 
20230213.175520.890762 333.481628 
20230213.175530.890902 335.064758 
20230213.175540.891043 334.752716 
20230213.175550.891184 333.724548 
20230213.175600.891325 334.873993 
20230213.175610.891467 334.311951 
20230213.175620.891607 334.369171 
20230213.175630.891748 334.350891 
20230213.175640.891889 229.442459 
20230213.175650.892030 153.612823 
20230213.175700.892171 334.679504 
20230213.175710.892312 334.978577 
20230213.175720.892452 334.954865 
20230213.175730.892593 333.747131 
20230213.175740.892733 335.120178 
20230213.175750.892875 333.720062 
20230213.175800.893017 334.147736 
20230213.175810.893156 334.468018 
20230213.175820.893298 170.953659 
20230213.175830.893438 255.963654 
20230213.175840.893578 229.474884 
20230213.175850.893715 0.000000 
20230213.175900.893859 0.000013 
20230213.175910.894000 0.000088 
20230213.175920.894139 0.000000 
20230213.175930.894278 0.000000 
20230213.175940.894422 0.000013 
20230213.175950.894561 0.000000 
20230213.180000.894703 0.000101 
20230213.180010.894844 0.000206 
20230213.180020.894986 206.850555 
20230213.180030.895129 333.718628 
20230213.180040.895267 335.813751 
20230213.180050.895408 114.169289 
20230213.180100.895550 0.739264 
20230213.180110.895690 2.981342 
20230213.180120.895831 2.790588 
20230213.180130.895973 0.171081 
20230213.180140.896112 2.973181 
20230213.180150.896253 2.543721 
20230213.180200.896395 2.493746 
20230213.180210.896534 0.921845 
20230213.180220.896676 2.445812 
20230213.180230.896816 3.029273 
20230213.180240.896958 0.467856 
20230213.180250.897098 5.194846 
20230213.180300.897239 0.725799 
20230213.180310.897378 0.000092 
20230213.180320.897521 0.000289 
20230213.180330.897661 0.000246 
20230213.180340.897800 0.000000 
20230213.180350.897941 0.000000 
20230213.180400.898085 0.000079 
20230213.180410.898224 0.000536 
20230213.180420.898367 107.356186 
20230213.180430.898508 333.991669 
20230213.180440.898649 334.072327 
20230213.180450.898790 331.203796 
20230213.180500.898930 335.550293 
20230213.180510.899072 185.857452 
20230213.180520.899214 333.319519 
20230213.180530.899352 335.869751 
20230213.180540.899494 224.815521 
20230213.180550.899634 335.635498 
20230213.180600.899776 334.172272 
20230213.180610.899916 333.745911 
20230213.180620.900057 334.974976 
20230213.180630.900197 334.238495 
20230213.180640.900339 335.211731 
20230213.180650.900480 333.555115 
20230213.180700.900621 335.002502 
20230213.180710.900762 333.350037 
20230213.180720.900903 335.856384 
20230213.180730.901044 333.660187 
20230213.180740.901186 333.824341 
20230213.180750.901326 335.718597 
20230213.180800.901467 334.316101 
20230213.180810.901607 334.602844 
20230213.180820.901748 334.290527 
20230213.180830.901889 335.227966 
20230213.180840.902030 333.354187 
20230213.180850.902170 334.859802 
20230213.180900.902311 335.053528 
20230213.180910.902454 334.706726 
20230213.180920.902593 333.126740 
20230213.180930.902733 335.905334 
20230213.180940.902874 331.622070 
20230213.180950.903016 334.830139 
20230213.181000.903154 336.138947 
20230213.181010.903296 333.330750 
20230213.181020.903436 335.752258 
20230213.181030.903578 334.055939 
20230213.181040.903720 335.015869 
20230213.181050.903860 334.225403 
20230213.181100.904001 332.815552 
20230213.181110.904141 335.679840 
20230213.181120.904283 333.036957 
20230213.181130.904424 334.979156 
20230213.181140.904564 335.471741 
20230213.181150.904705 333.306213 
20230213.181200.904848 335.578918 
20230213.181210.904987 334.836334 
20230213.181220.905128 332.353455 
20230213.181230.905269 335.724731 
20230213.181240.905409 333.211395 
20230213.181250.905551 334.630341 
20230213.181300.905691 334.746490 
20230213.181310.905832 335.424805 
20230213.181320.905973 335.127045 
20230213.181330.906114 334.150848 
20230213.181340.906256 334.039612 
20230213.181350.906396 333.216431 
20230213.181400.906536 334.531311 
20230213.181410.906677 334.453796 
20230213.181420.906818 335.867523 
20230213.181430.906959 333.405121 
20230213.181440.907100 334.319153 
20230213.181450.907243 335.198364 
20230213.181500.907384 334.866882 
20230213.181510.907522 334.995392 
20230213.181520.907663 334.345703 
20230213.181530.907808 333.599060 
20230213.181540.907946 333.721344 
20230213.181550.908086 335.433990 
20230213.181600.908227 334.677185 
20230213.181610.908368 334.393646 
20230213.181620.908509 334.639374 
20230213.181630.908650 334.511902 
20230213.181640.908791 333.941742 
20230213.181650.908930 332.691223 
20230213.181700.909072 335.609436 
20230213.181710.909213 334.415955 
20230213.181720.909353 334.682312 
20230213.181730.909494 334.033539 
20230213.181740.909636 334.349670 
20230213.181750.909776 334.337433 
20230213.181800.909916 335.164795 
20230213.181810.910057 334.979126 
20230213.181820.910200 333.329651 
20230213.181830.910340 334.887268 
20230213.181840.910482 334.377258 
20230213.181850.910621 333.746002 
20230213.181900.910764 334.657745 
20230213.181910.910903 334.319092 
20230213.181920.911045 334.202881 
20230213.181930.911185 333.629608 
20230213.181940.911326 335.080048 
20230213.181950.911467 334.130402 
20230213.182000.911608 333.745911 
20230213.182010.911749 335.758453 
20230213.182020.911890 334.567963 
20230213.182030.912031 334.403748 
20230213.182040.912172 335.115845 
20230213.182050.912314 334.229462 
20230213.182100.912453 332.920593 
20230213.182110.912595 335.696136 
20230213.182120.912736 333.341980 
20230213.182130.912876 335.043396 
20230213.182140.913017 334.389465 
20230213.182150.913157 334.364990 
20230213.182200.913299 335.029053 
20230213.182210.913439 332.376038 
20230213.182220.913582 337.168091 
20230213.182230.913721 333.356140 
20230213.182240.913862 335.021973 
20230213.182250.914003 334.328369 
20230213.182300.914143 333.303131 
20230213.182310.914284 336.267395 
20230213.182320.914425 333.858093 
20230213.182330.914566 335.227112 
20230213.182340.914707 333.875366 
20230213.182350.914848 334.663879 
20230213.182400.914989 333.810120 
20230213.182410.915132 335.565674 
20230213.182420.915271 334.721985 
20230213.182430.915412 332.723724 
20230213.182440.915553 335.171936 
20230213.182450.915693 334.375336 
20230213.182500.915834 335.772644 
20230213.182510.915976 333.131775 
20230213.182520.916116 334.914886 
20230213.182530.916258 334.645569 
20230213.182540.916399 335.258545 
20230213.182550.916539 335.017822 
20230213.182600.916681 332.382080 
20230213.182610.916821 335.369812 
20230213.182620.916961 333.427551 
20230213.182630.917102 334.827087 
20230213.182640.917245 334.690369 
20230213.182650.917385 332.227051 
20230213.182700.917526 336.023621 
20230213.182710.917668 334.117126 
20230213.182720.917808 335.100525 
20230213.182730.917948 334.078430 
20230213.182740.918090 333.396973 
20230213.182750.918230 335.299377 
20230213.182800.918372 333.366455 
20230213.182810.918513 335.627869 
20230213.182820.918655 332.260651 
20230213.182830.918794 336.175598 
20230213.182840.918935 335.709473 
20230213.182850.919077 333.199219 
20230213.182900.919216 333.669312 
20230213.182910.919357 335.741028 
20230213.182920.919498 335.411652 
20230213.182930.919640 333.309387 
20230213.182940.919782 336.009338 
20230213.182950.919922 332.134155 
20230213.183000.920062 334.704742 
20230213.183010.920204 335.288177 
20230213.183020.920345 334.997406 
20230213.183030.920484 333.848846 
20230213.183040.920627 334.246765 
20230213.183050.920767 335.315765 
20230213.183100.920907 334.851532 
20230213.183110.921048 332.687012 
