=========================UL=========================
datettime              UL-Tput   UL-RbNum UL-MCS UL-Bler
20241030.183731.524938 46.493385 269.4 22.9 0.0
20241030.183741.524941 51.508831 269.5 24.5 1.6
20241030.183751.524935 53.171196 268.9 25.3 3.0
20241030.183801.524934 49.890087 240.3 26.1 2.0
20241030.183811.524932 48.980949 229.7 26.9 2.9
20241030.183821.524936 48.975166 228.6 27.1 2.8
20241030.183831.524939 49.003784 224.4 27.1 1.2
20241030.183841.524934 48.987244 222.9 27.2 1.0
20241030.183851.524937 48.977501 220.7 28.0 2.8
20241030.183901.524937 48.984406 216.7 28.0 1.3
=========================DL=========================
datettime              DL-Tput   DL-RbNum DL-MCS DL-Bler
20241030.183551.524875 0.000410 1.4 4.0 0.0
20241030.183611.524884 369.731812 267.7 14.3 0.0
20241030.183621.524880 682.437988 224.4 24.6 0.0
20241030.183631.524885 676.133057 226.6 24.7 1.6
20241030.183641.524883 660.248840 261.9 22.5 2.2
20241030.183651.524895 676.981750 234.0 24.3 1.2
20241030.183701.524900 686.537659 231.3 25.0 3.8
20241030.183711.524899 681.946411 240.5 23.9 1.6
20241030.183721.524902 681.720398 244.2 23.8 2.6
20241030.183731.524904 686.627197 216.0 25.7 1.8
