datettime              Tput   RbNum MCS PdschBler nonWPdschBler
20221018.165317.401606 0.000091 1.4 9.0 0.0 33.3 
20221018.165317.401616 0.000091 1.7 9.0 0.0 0.0 
20221018.165317.401624 0.000091 1.7 9.0 0.0 0.0 
20221018.165317.401633 0.000091 1.4 9.0 0.0 45.5 
20221018.165317.401641 0.000091 1.7 9.0 0.0 0.0 
20221018.165317.401649 0.000091 1.7 9.0 0.0 0.0 
20221018.165327.401755 0.000318 2.0 9.0 0.0 25.0 
20221018.165327.401765 0.000144 3.2 9.0 0.0 25.0 
20221018.165327.401774 0.000397 2.1 9.0 0.0 23.1 
20221018.165327.401783 0.000144 4.0 9.0 0.0 0.0 
20221018.165327.401802 0.000013 1.0 9.0 0.0 80.0 
20221018.165327.401811 0.000314 2.2 9.0 0.0 20.0 
20221018.165327.401819 0.000091 2.5 9.0 0.0 25.0 
20221018.165337.401929 0.000159 2.0 9.0 0.0 50.0 
20221018.165337.401939 0.000249 1.6 9.0 0.0 33.3 
20221018.165337.401948 0.000079 2.0 9.0 0.0 50.0 
20221018.165337.401957 0.000159 2.0 9.0 0.0 50.0 
20221018.165337.401965 0.000311 2.3 9.0 0.0 22.2 
20221018.165337.401974 0.000326 2.0 9.0 0.0 7.1 
20221018.165347.402094 0.000079 2.0 9.0 0.0 50.0 
20221018.165347.402116 0.000159 2.0 9.0 0.0 50.0 
20221018.165347.402124 0.000238 2.0 9.0 0.0 50.0 
20221018.165357.402264 0.000091 1.2 9.0 0.0 20.0 
20221018.165407.402434 0.000159 2.0 9.0 0.0 50.0 
20221018.165407.402444 0.000238 2.0 9.0 0.0 50.0 
20221018.165407.402453 0.000238 2.0 9.0 0.0 50.0 
20221018.165407.402461 0.000159 1.7 9.0 0.0 50.0 
20221018.165417.402603 0.000159 2.0 9.0 0.0 50.0 
20221018.165417.402613 0.000238 2.0 9.0 0.0 50.0 
20221018.165417.402622 0.000079 2.0 9.0 0.0 50.0 
20221018.165417.402630 0.000159 2.0 9.0 0.0 50.0 
20221018.165417.402638 0.000159 2.0 9.0 0.0 50.0 
20221018.165417.402654 0.000079 2.0 9.0 0.0 50.0 
20221018.165427.402772 0.000079 2.0 9.0 0.0 50.0 
20221018.165427.402783 0.000159 2.0 9.0 0.0 50.0 
20221018.165427.402792 0.000238 2.0 9.0 0.0 50.0 
20221018.165437.402940 0.000079 2.0 9.0 0.0 50.0 
20221018.165447.403110 0.000159 2.0 9.0 0.0 50.0 
20221018.165447.403120 0.000238 2.0 9.0 0.0 50.0 
20221018.165447.403128 0.000238 2.0 9.0 0.0 50.0 
20221018.165447.403137 0.000159 2.0 9.0 0.0 50.0 
20221018.165457.403275 0.000159 2.0 9.0 0.0 50.0 
20221018.165457.403286 0.000238 2.0 9.0 0.0 50.0 
20221018.165457.403295 0.000079 2.0 9.0 0.0 50.0 
20221018.165457.403304 0.000159 2.0 9.0 0.0 50.0 
20221018.165457.403312 0.000159 2.0 9.0 0.0 50.0 
20221018.165457.403320 0.000079 2.0 9.0 0.0 50.0 
20221018.165507.403443 0.000079 2.0 9.0 0.0 50.0 
20221018.165507.403454 0.000159 2.0 9.0 0.0 50.0 
20221018.165507.403463 0.000238 2.0 9.0 0.0 50.0 
20221018.165517.403617 0.050055 6.3 8.5 7.0 0.6 
20221018.165517.403629 0.000079 2.0 9.0 0.0 50.0 
20221018.165517.403640 0.057893 3.8 10.2 4.7 0.3 
20221018.165527.403790 0.045730 7.2 7.3 10.0 0.6 
20221018.165527.403802 0.106136 2.8 14.0 2.3 1.9 
20221018.165527.403814 0.122060 2.3 19.0 0.0 0.0 
20221018.165527.403823 0.072973 7.1 6.9 9.7 2.2 
20221018.165527.403835 0.120963 1.6 22.9 1.0 1.1 
20221018.165527.403845 0.054420 3.0 10.9 4.0 0.5 
20221018.165527.403855 0.055666 5.4 9.2 6.5 0.4 
20221018.165537.403956 0.030584 1.7 13.8 0.3 0.3 
20221018.165537.403970 0.108224 1.7 17.4 10.6 9.0 
20221018.165537.403982 0.132628 2.0 26.0 4.0 3.9 
20221018.165537.403992 0.076427 2.0 17.7 0.2 0.4 
20221018.165537.404004 0.092676 1.4 26.0 0.2 0.2 
20221018.165537.404016 0.120464 1.1 24.3 0.0 0.0 
20221018.165537.404026 0.043002 1.9 16.5 0.0 0.0 
20221018.165547.404129 0.022952 1.2 23.5 0.0 0.0 
20221018.165547.404144 0.145032 1.6 20.2 9.9 10.5 
20221018.165547.404156 0.131788 1.8 26.0 1.3 1.4 
20221018.165547.404168 0.039241 1.3 25.8 1.7 1.8 
20221018.165547.404181 0.150065 1.7 26.0 1.1 1.1 
20221018.165547.404201 0.118838 1.1 26.0 0.0 0.0 
20221018.165547.404211 0.009263 1.1 23.8 2.0 1.3 
20221018.165557.404293 0.004602 1.0 26.0 0.0 0.0 
20221018.165557.404308 0.116743 1.5 18.6 8.9 9.3 
20221018.165557.404320 0.138036 1.8 26.0 2.9 2.7 
20221018.165557.404330 0.005208 1.0 26.0 2.0 12.4 
20221018.165557.404342 0.147621 1.4 26.0 0.1 0.1 
20221018.165557.404355 0.118813 1.0 26.0 0.1 0.1 
20221018.165557.404365 0.006265 1.1 25.6 0.0 1.1 
20221018.165607.404469 0.002917 1.0 26.0 1.0 17.9 
20221018.165607.404484 0.122229 1.2 22.5 7.5 7.0 
20221018.165607.404496 0.138177 1.9 25.9 4.5 5.0 
